name,cluster_x,domain,industry,locality,summary,recomendation,cluster_y,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
doe anderson,0,doeanderson.com,marketing and advertising,"louisville, kentucky, united states","Doe-Anderson is a full-service creative advertising agency. They have a portfolio of work that includes advertising for OhioHealth, Maker's Mark, Louisville Tourism, and Roto-Rooter. The agency's work is focused on creative advertising. Doe-Anderson has offices in Louisville, Kentucky, and Columbus, Ohio. You can contact them via phone or through their website.
","{'UI/UX Redesign & Responsive Platforms': 'Digital Upgrades & Modernization', 'Workflow & Process Assessment': 'Assessment & Strategy', 'Conversational AI & Chatbot Engines': 'Custom Builds', 'Integration & API Development': 'Custom Builds', 'Data Strategy & Reporting Roadmap': 'Assessment & Strategy'}",0,-0.5160036820221651,-1.374481655710238,0.099020665608844,1.832376459748596,2.2909869640595573,-1.0822026901224058,-1.2553186972209152,1.8062770253327312,-2.600439835110988,-0.5780807154875683
crestron electronics,0,crestron.com,electrical/electronic manufacturing,"rockleigh, new jersey, united states","Crestron Electronics, Inc. provides control systems for home automation, campus, and building control. They offer innovative technology solutions for various sectors, including enterprises, education, government, and residential spaces. Crestron's product lines include DM NVX® technology, video conferencing solutions, and Crestron Home® OS 4. They offer training through the Crestron Technical Institute and focus on creating collaborative and efficient meeting experiences. Crestron also emphasizes sustainability and social responsibility.
","{'Customer Interaction Automation': 'Workflow Automation', 'Support Ticket & Case Management': 'Workflow Automation', 'Legacy System Modernization': 'Digital Upgrades & Modernization', 'UI/UX Redesign & Responsive Platforms': 'Digital Upgrades & Modernization', 'Cloud Migration & Scalability': 'Digital Upgrades & Modernization'}",0,-3.1200439493737377,-2.1120382125728345,-3.629726472671142,-0.080119484430293,-0.8446602113402931,-1.23792309751541,0.3448989913861937,-1.6698422883703594,1.6242437902351077,2.2985149981126214
railinc corp.,0,railinc.com,information technology and services,"cary, north carolina, united states","Railinc is a technology solutions provider for the railroad industry. They offer various products and services, including equipment notification and air brake testing support. The company provides resources, support, and a searchable database of its offerings. Railinc's mission is to create valued solutions using their people, processes, and technologies. They also provide career opportunities and industry information resources. Railinc is a brand of TransmetriQ, which offers insights and solutions to help customers build successful businesses.
","{'Digital Infrastructure Audit': 'Assessment & Strategy', 'Workflow & Process Assessment': 'Assessment & Strategy', 'Legacy System Modernization': 'Digital Upgrades & Modernization', 'Cloud Migration & Scalability': 'Digital Upgrades & Modernization', 'Multi-System Orchestration & Data Pipelines': 'Workflow Automation'}",0,-2.5763087129032107,-1.3591919143846036,-1.993891778396736,0.4920803844197973,-1.1832435548924911,-0.8311695405674923,-0.4843997812600745,0.6924837585573097,1.8204857684564253,0.9615551802224668
accusoft,0,accusoft.com,computer software,"tampa, florida, united states","Accusoft is a software company specializing in document viewing, processing, and automation solutions. Their products include APIs and toolkits like PrizmDoc and ImageGear for integrating document functionalities into web applications. They offer AI-powered tools for tasks like redaction and annotation, serving industries such as legal, finance, and insurance. Accusoft also provides contract automation through Docubee and offers SDKs for barcode processing and form recognition. With a focus on innovation, they provide solutions for image cleanup, forms processing, and PDF manipulation, along with comprehensive support and various resources.
","{'End-to-End Document Automation': 'Workflow Automation', 'Custom Application & Web Development': 'Custom Builds', 'Conversational AI & Chatbot Engines': 'Custom Builds', 'Security & Compliance Evaluation': 'Assessment & Strategy', 'Monitoring & Alerting Platforms': 'Support & Maintenance'}",0,-4.186148276535714,-2.36061402358348,-4.2078702801745065,-0.7111817664447293,-2.572400608745385,1.850539491010638,0.6286407786964803,-0.4479706936664996,3.618841998823511,3.773461449257719
grubhub,0,grubhub.com,internet,"new york, new york, united states","I am sorry, but I am unable to summarize the company based on the provided information, as it only contains a request to enable JavaScript. Without additional information, I cannot extract the necessary business details to create a summary.
","{'Digital Infrastructure Audit': 'Assessment & Strategy', 'Customer Interaction Automation': 'Workflow Automation', 'Data Strategy & Reporting Roadmap': 'Assessment & Strategy', 'Monitoring & Alerting Platforms': 'Support & Maintenance', 'Cloud Migration & Scalability': 'Digital Upgrades & Modernization'}",0,-1.3041502777791405,-0.84968376238684,0.4593184956141038,2.298613334527248,2.902043930689697,0.0105013841098095,1.363162220866401,0.8892256738298048,-0.412594665709024,-1.0161031398566458
"communication technology services, llc",0,cts1.com,telecommunications,"marlborough, massachusetts, united states","Communication Technology Services (CTS) is a provider of custom, in-building, and campus connectivity solutions. They specialize in solving and managing complex networking challenges for enterprises and mobile network operators. CTS offers services including design, deployment, and support for private cellular networks, DAS, Wi-Fi, and fiber-based LAN solutions. Their expertise extends to various environments, such as stadiums, healthcare facilities, and corporate enterprises. CTS provides comprehensive solutions starting with a consultative approach and offering managed network services.
","{'Digital Infrastructure Audit': 'Assessment & Strategy', 'Cloud Migration & Scalability': 'Digital Upgrades & Modernization', 'Monitoring & Alerting Platforms': 'Support & Maintenance', 'Performance Tuning & Continuous Improvement': 'Digital Upgrades & Modernization'}",0,-3.2295222839286284,-2.0825149032818406,-3.1686970427831773,-0.9097506837108652,-1.4958639279964965,1.2917559042888327,-2.8733702600198536,-2.071475686158766,2.1074031368734,1.8762902434023647
suffolk university,1,suffolk.edu,higher education,"boston, massachusetts, united states","Suffolk University, located in Boston, offers undergraduate, graduate, and law programs. The university provides a diverse range of academic areas, including business, arts, sciences, and law. Suffolk emphasizes experiential learning, with opportunities for students to engage in real-world projects and immersive experiences. The university boasts a strong alumni network and a commitment to student success, with a high percentage of graduates employed or continuing their education. Suffolk University aims to prepare students to make a real impact in their communities and beyond.
","{'Digital Infrastructure Audit': 'Assessment & Strategy', 'Conversational AI & Chatbot Engines': 'Custom Builds', 'Support Ticket & Case Management': 'Workflow Automation', 'Workflow & Process Assessment': 'Assessment & Strategy', 'Technology Roadmapping & Change Management': 'Assessment & Strategy'}",1,23.1933458637682,0.1726887929184458,-9.051690388302328,-6.8922811559178765,2.431211235211552,0.6211977987868914,-1.5932621173087391,-3.662407247462616,-16.80424167943919,7.352790462331492
emoney advisor,0,emoneyadvisor.com,financial services,"conshohocken, pennsylvania, united states","eMoney Advisor provides financial professionals with comprehensive financial planning solutions. Their platform allows advisors to organize client data, map out goals, and stress-test for risks. Key features include client portals, account aggregation, and interactive financial planning tools. eMoney offers different product tiers (Plus, Pro, Premier, and Enterprise) catering to diverse client needs. They aim to improve efficiency, build stronger client relationships, and increase the level of service for financial advisors.
","{'Digital Infrastructure Audit': 'Assessment & Strategy', 'Conversational AI & Chatbot Engines': 'Custom Builds', 'Customer Interaction Automation': 'Workflow Automation', 'Cloud Migration & Scalability': 'Digital Upgrades & Modernization', 'Integration & API Development': 'Custom Builds'}",0,-3.4108936368205267,1.2224265618870824,-2.669427013214934,-0.3807774699000482,-1.4425482052291496,2.36790710096438,-0.8093270688830678,1.6824087406473651,-0.255029544517983,-2.2526721442131654
financialforce,0,financialforce.com,computer software,"san francisco, california, united states","Certinia is a cloud-based platform offering professional services automation (PSA), financial management, and customer success solutions. Built on Salesforce, the platform unifies sales, professional services, and back-office functions. Certinia's solutions help businesses improve cash flow, project profitability, employee utilization, and customer satisfaction. They offer services estimating, automation, resource management, and financial reporting tools. Catering to mid-size firms and global enterprises across various industries, Certinia helps customers manage their entire services journey.
","{'Digital Infrastructure Audit': 'Assessment & Strategy', 'Workflow & Process Assessment': 'Assessment & Strategy', 'Customer Interaction Automation': 'Workflow Automation', 'Legacy System Modernization': 'Digital Upgrades & Modernization', 'UI/UX Redesign & Responsive Platforms': 'Digital Upgrades & Modernization'}",0,-5.412681872975461,-0.1171024771967686,-5.5718553747664,-0.3349247926545526,-3.404557159230006,3.4451303237718416,-0.461425829476254,1.8473778145171176,1.841629408455773,0.9972106797169528
community hospice,0,hospiceheart.org,hospital & health care,"modesto, california, united states","Community Hospice & Health Services (CHHS) is a nonprofit, community-based hospice and support services agency serving the Central Valley since 1979. They provide care for individuals and families facing life-changing journeys, focusing on enhancing quality of life. Services include hospice care, palliative care, pediatric care, and counseling. CHHS offers specialized programs like a Cardiovascular Specialty Program and Veterans Care. The organization operates the Alexander Cohen Hospice House for inpatient and respite care and is accredited and certified for hospice and palliative care.
","{'Security & Compliance Evaluation': 'Assessment & Strategy', 'Conversational AI & Chatbot Engines': 'Custom Builds', 'Document Intelligence & OCR Solutions': 'Custom Builds', 'Monitoring & Alerting Platforms': 'Support & Maintenance', 'Employee Onboarding & Training Bots': 'Workflow Automation'}",0,1.0233459235264886,-0.8985030134563109,12.34628337826272,-4.340454570381643,-2.347838847013052,-0.3236212944912714,-1.0291380563591963,-0.2102241159763302,0.6963963295708953,-5.396007288144937
startup institute,0,startupinstitute.com,professional training & coaching,"boston, massachusetts, united states","Startup Institute is a company with a coming soon message, indicating it is not yet launched. The website focuses on empowering startups, although specific details about its offerings are unavailable. It has a contact section for inquiries, inviting visitors to sign up for an email list to receive updates and promotions. The site’s copyright is held by Startup Institute, and it uses cookies for traffic analysis and website optimization. This website includes a reCAPTCHA and is powered by a website builder.
","{'Digital Infrastructure Audit': 'Assessment & Strategy', 'Workflow & Process Assessment': 'Assessment & Strategy', 'UI/UX Redesign & Responsive Platforms': 'Digital Upgrades & Modernization', 'Cloud Migration & Scalability': 'Digital Upgrades & Modernization', 'Monitoring & Alerting Platforms': 'Support & Maintenance'}",0,-1.4659368410538258,-1.061509164741939,0.3626323776521991,2.231486138787787,2.9087339561555714,-0.5174337709646015,1.4042492604358123,1.695661926531857,-0.8188201136082869,-0.7612387900436932
cvs health,0,cvshealth.com,pharmaceuticals,"woonsocket, rhode island, united states","CVS Health is a leading healthcare solutions company focused on delivering affordable, quality health care and well-being services. Their services encompass health care and wellness, prescription drug coverage, health insurance, and pharmacy services. They aim to connect individuals with the care they need, expand access to medicine and wellness, and drive affordability and convenience. The company operates through multiple brands, including Aetna, CVS Caremark, and CVS Pharmacy. CVS Health is committed to making a positive impact on people, communities, and the planet.
","{'Digital Infrastructure Audit': 'Assessment & Strategy', 'Security & Compliance Evaluation': 'Assessment & Strategy', 'Conversational AI & Chatbot Engines': 'Custom Builds', 'Cloud Migration & Scalability': 'Digital Upgrades & Modernization', 'Monitoring & Alerting Platforms': 'Support & Maintenance'}",0,-0.9392341537330624,-1.0278868810652766,6.235179294997308,-3.968645697540088,-1.0826020136125782,-1.0487823696403038,-0.8192865864566422,-1.6309661899592935,-1.205331017204339,-0.5527920675164285
chartway federal credit union,3,chartway.com,financial services,"virginia beach, virginia, united states","Chartway Credit Union is a financial institution offering personal and business banking solutions. They provide services such as checking and savings accounts, loans, mortgages, and credit cards. Chartway also offers investment services and financial education resources to help members manage their finances. They emphasize community involvement through the Chartway Promise Foundation and various events. Additionally, Chartway has online banking and mobile app options.
","{'Cloud Migration & Scalability': 'Digital Upgrades & Modernization', 'Security & Compliance Evaluation': 'Assessment & Strategy', 'Customer Interaction Automation': 'Workflow Automation', 'Conversational AI & Chatbot Engines': 'Custom Builds', 'Monitoring & Alerting Platforms': 'Support & Maintenance'}",3,-4.664197618618444,46.84453517700269,-0.5422265537131303,0.2851174350656755,-1.0784597858610558,2.6881185975372426,-0.2072183801546915,-0.0723004381187306,0.1766785300662085,2.3879095839505937
"cambridge investment research, inc.",0,joincambridge.com,financial services,"fairfield, iowa, united states","Cambridge Investment Research is an independent broker-dealer and registered investment advisor that supports independent financial professionals. They offer solutions for independent advisors, registered investment advisors, broker-dealers, OSJs, financial institutions, and partners. The company provides technology, managed account solutions, investment products, practice management, marketing services, and more. Cambridge emphasizes independence, providing resources and support to help advisors build and manage their practices. They focus on culture and core values, with a commitment to inclusion. Cambridge also offers a podcast series and various insights and events focused on financial professionals.
","{'Digital Infrastructure Audit': 'Assessment & Strategy', 'Workflow & Process Assessment': 'Assessment & Strategy', 'Customer Interaction Automation': 'Workflow Automation', 'Security & Compliance Evaluation': 'Assessment & Strategy', 'Cloud Migration & Scalability': 'Digital Upgrades & Modernization'}",0,-1.6883794019717104,1.95155661185685,-1.4860322676370137,0.4916290989076727,-0.6941047122534472,-0.0844852961389408,-2.239943850824449,0.4806021911764982,-1.672066646717138,-3.058520871540147
badger liquor co.,0,badgerliquor.com,wine and spirits,"fond du lac, wisconsin, united states","Badger Liquor is a fourth-generation family-owned business and the largest distributor of wine and spirits in Wisconsin. They offer a wide range of products, including spirits, wine, and THC beverages from GALA Ventures. The company provides services for both new and existing customers, with options for online product discovery and payment methods. Badger Liquor also features recipes, blogs, and videos. With locations in Fond du Lac, Milwaukee, and Chippewa Falls, they cater to customers across the state.
","{'Digital Infrastructure Audit': 'Assessment & Strategy', 'Conversational AI & Chatbot Engines': 'Custom Builds', 'Cloud Migration & Scalability': 'Digital Upgrades & Modernization', 'Customer Interaction Automation': 'Workflow Automation', 'Security & Compliance Evaluation': 'Assessment & Strategy'}",0,-1.1166499316608105,-0.4022530616371512,0.5382963899627302,0.1615880709301772,3.048998175196909,-2.9568638739986253,6.31646936100776,-2.223796628253796,0.3894206378117734,2.829363913460521
brentwood school,1,bwscampus.com,primary/secondary education,"los angeles, california, united states","Brentwood School is a private, co-educational K-12 school with two campuses in Los Angeles, California. Their curriculum includes academics, arts, athletics, and service learning, with programs for Lower, Middle, and Upper School students. The school emphasizes innovation through the Belldegrun Center for Innovative Leadership. Brentwood School features programs in entrepreneurship, robotics, and student support, and prepares students for college. It also offers alumni resources and parent involvement opportunities.
","{'Workflow & Process Assessment': 'Assessment & Strategy', 'Digital Infrastructure Audit': 'Assessment & Strategy', 'Conversational AI & Chatbot Engines': 'Custom Builds', 'Legacy System Modernization': 'Digital Upgrades & Modernization', 'Data Strategy & Reporting Roadmap': 'Assessment & Strategy'}",1,13.398192777515584,-0.5232177059247723,0.1056026302836987,10.242307298086748,-6.4812655663284735,1.6595415696695908,0.2400648660260828,-6.020589026317659,-5.16777932143005,0.1307473842271056
